text,label
"ممكن تفاصيل عن المنتج ده؟",ask_product_description
"إيه هي مواصفات المنتج ده؟",ask_product_description
"عايز أعرف كل حاجة عن المنتج ده.",ask_product_description
"المنتج ده مصنوع من إيه؟",ask_product_description
"إيه بلد الصنع؟",ask_product_description
"الخامة بتاعته إيه؟",ask_product_description
"هل عليه ضمان؟ ومدة الضمان قد إيه؟",ask_product_description
"محتويات العلبة إيه بالظبط؟",ask_product_description
"وزن القطعة كام جرام؟",ask_product_description
"الأبعاد بتاعته كام؟ الطول والعرض والارتفاع.",ask_product_description
"هل المنتج ده أصلي؟",ask_product_description
"إيه رقم الموديل؟",ask_product_description
"عايز وصف كامل للمنتج.",ask_product_description
"هل المنتج ده مقاوم للمياه؟",ask_product_description
"تاريخ انتهاء الصلاحية امتى؟",ask_product_description
"هل فيه منه ألوان تانية؟",ask_product_description
"المادة المصنوع منها آمنة؟",ask_product_description
"هل بييجي معاه اكسسوارات؟",ask_product_description
"ممكن صورة للمنتج من زوايا مختلفة؟",ask_product_description
"ايه المنتج دا,ask_product_description
"صلاحيته كام شهر؟",ask_product_description
"هل هو مناسب للأطفال؟",ask_product_description
"إيه الفرق بينه وبين الإصدار اللي قبله؟",ask_product_description
"هل المنتج ده جديد ولا مستعمل؟",ask_product_description
"ممكن تقولي تفاصيله الفنية؟",ask_product_description
"العبوة دي تكفي استخدام قد إيه؟",ask_product_description
"هل هو قابل لإعادة التدوير؟",ask_product_description
"ممكن تقولي المكونات بالكامل؟",ask_product_description
"هل الصلاحية بتاعته بتعيش كتير؟",ask_product_description
"هل المنتج ده فيه نسبة دهون نباتية,ask_product_description
"المنتج دا ينفع يتحط على بيتزا؟",ask_product_description
"هل المكونات بتسبب حساسية؟",ask_product_description
"الجودة بتاعته عاملة إيه؟",ask_product_description
"المنتج ده عليه تقييمات كويسة؟",ask_product_description
"هل المنتج ده حاصل على براءة اختراع؟",ask_product_description
"إيه نوع القماش المستخدم؟",ask_product_description
"هل هو سهل التنضيف؟",ask_product_description
"المنتج ده بيجي في أي تغليف؟",ask_product_description
"إيه هي درجة مقاومته للحرارة؟",ask_product_description
"هل هو خالي من المواد الكيميائية الضارة؟",ask_product_description
"ما هي السعة التخزينية للجهاز؟",ask_product_description
"هل يدعم اللغة العربية؟",ask_product_description
"ما مدى قوة المحرك؟",ask_product_description
"هل المنتج ده بيصدر صوت عالي؟",ask_product_description
"إيه هي فترة صلاحيته بعد الفتح؟",ask_product_description
"هل المنتج ده صديق للبيئة؟",ask_product_description
"ما هي قدرته الكهربائية؟",ask_product_description
"هل هو آمن للاستخدام حول الحيوانات الأليفة؟",ask_product_description
"عايز ورقة البيانات التقنية للمنتج.",ask_product_description
"ده مصنوع من إيه؟",ask_product_description
"الضمان بتاعه إيه نظامه؟",ask_product_description
"عايز تفاصيل أكتر عن ده.",ask_product_description
"بيجي معاه إيه في الكرتونة؟",ask_product_description
"ده وزنه تقيل ولا خفيف؟",ask_product_description
"صناعته إيه؟ مصري ولا مستورد؟",ask_product_description
"ده الأصلي ولا كوبي؟",ask_product_description
"ممكن أعرف أبعاده؟",ask_product_description
"هو ضد الماية؟",ask_product_description
"إيه الألوان اللي نازلة منه؟",ask_product_description
"هل الخامة بتاعته كويسة؟",ask_product_description
"ده بيشتغل إزاي؟",ask_product_description
"صلاحيته قد إيه؟",ask_product_description
"هل آمن على العيال؟",ask_product_description
"هو ده الموديل الجديد؟",ask_product_description
"الخامة دي بتوبر؟",ask_product_description
"ممكن تفاصيل أكتر عن مواصفاته؟",ask_product_description
"هو حجمه كبير؟",ask_product_description
"إيه مكوناته؟",ask_product_description
"بطاريته بتقعد كتير؟",ask_product_description
"Tell me more about this product.",ask_product_description
"What are the specifications for this item?",ask_product_description
"Can you give me a detailed description?",ask_product_description
"What material is this made of?",ask_product_description
"Where is this product manufactured?",ask_product_description
"What are the dimensions?",ask_product_description
"Does it come with a warranty?",ask_product_description
"What's included in the box?",ask_product_description
"How much does it weigh?",ask_product_description
"What's the model number?",ask_product_description
"Is this product original?",ask_product_description
"Is it waterproof?",ask_product_description
"What is the expiration date?",ask_product_description
"Are there other colors available?",ask_product_description
"Is the material safe?",ask_product_description
"Does it come with any accessories?",ask_product_description
"Can I see more pictures of the product?",ask_product_description
"Is it easy to assemble?",ask_product_description
"What is its shelf life?",ask_product_description
"Is this suitable for children?",ask_product_description
"What's the difference between this and the previous version?",ask_product_description
"Is this item new or refurbished?",ask_product_description
"Could you provide the technical details?",ask_product_description
"How long will this package last?",ask_product_description
"Is it recyclable?",ask_product_description
"Can you list all the ingredients?",ask_product_description
"Does it have good battery life?",ask_product_description
"Is this compatible with my other devices?",ask_product_description
"What quality certifications does it have?",ask_product_description
"Is the material hypoallergenic?",ask_product_description
"How is the build quality?",ask_product_description
"Does this product have good reviews?",ask_product_description
"Is this a patented product?",ask_product_description
"هل في خصومات على العصائر؟",ask_product_discounts
"إيه المنتجات اللي عليها تخفيض النهاردة؟",ask_product_discounts
"فيه عروض على منتجات رمضان؟",ask_product_discounts
"الزيت عليه خصم؟",ask_product_discounts
"إيه أرخص سعر لكيس الأرز؟",ask_product_discounts
"هل عندكم عروض على الجبنة؟",ask_product_discounts
"المعكرونة عليها عرض؟",ask_product_discounts
"هل في خصم خاص على المنتجات بالجملة؟",ask_product_discounts
"الخصم ساري على كل الأحجام؟",ask_product_discounts
"هل في خصومات للطلبات الكبيرة؟",ask_product_discounts
"Is it easy to clean?",ask_product_description
"What kind of packaging does it come in?",ask_product_description
"What is its heat resistance rating?",ask_product_description
"Is it free from harmful chemicals?",ask_product_description
"What is the storage capacity of the device?",ask_product_description
"Does it support multiple languages?",ask_product_description
"How powerful is the motor?",ask_product_description
"Is this product noisy during operation?",ask_product_description
"What is its shelf life after opening?",ask_product_description
"Is this product eco-friendly?",ask_product_description
"What is its power rating?",ask_product_description
"Is it safe to use around pets?",ask_product_description
"I need the technical datasheet for this item.",ask_product_description
"هل المنتج ده موجود في المخزن؟",check_stock_availability
"المنتج ده متاح حالياً؟",check_stock_availability
"عايز أتأكد لو المنتج متوفر.",check_stock_availability
"هل لسه باقي منه ولا خلص؟",check_stock_availability
"الكمية اللي عايزها متاحة؟",check_stock_availability
"موجود ولا أستنى؟",check_stock_availability
"عندكم منه كام قطعة في المخزن؟",check_stock_availability
"النوع ده لسه عندكم؟",check_stock_availability
"أقدر أطلبه دلوقتي؟",check_stock_availability
"المنتج ده متاح للشراء؟",check_stock_availability
"عايز أعرف إذا كان متوفر قبل ما أطلب.",check_stock_availability
"هل الكمية خلصت؟",check_stock_availability
"ممكن تتأكدلي لو سمحت لو لسه باقي منه؟",check_stock_availability
"المنتج ده in stock ولا out of stock؟",check_stock_availability
"هل الكمية محدودة؟",check_stock_availability
"ممكن أعرف حالة المخزون للمنتج ده؟",check_stock_availability
"هل لسه فيه فرصة أشتريه؟",check_stock_availability
"المنتج ده هيتوفر تاني امتى؟",check_stock_availability
"متى تتوقعون توفره مرة أخرى؟",check_stock_availability
"ممكن تبلغوني أول ما يتوفر؟",check_stock_availability
"هل ممكن أحجز قطعة منه؟",check_stock_availability
"امتى المخزون يتجدد؟",check_stock_availability
"هل فيه كمية جاية في الطريق؟",check_stock_availability
"ليه المنتج ده دايماً غير متاح؟",check_stock_availability
"هل توقف إنتاجه؟",check_stock_availability
"بتجددوا المخزون كل قد إيه؟",check_stock_availability
"الدفعة الجاية هتوصل امتى؟",check_stock_availability
"متى يرجع يتوفر تاني؟",check_stock_availability
"هل المنتج ده من الأصناف اللي بتتوفر على طول؟",check_stock_availability
"متوفر حاليا ولا خلص؟",check_stock_availability
"المنتج متوفر ولا نفذت الكمية؟",check_stock_availability
"هل هذا الصنف لا يزال متاحًا؟",check_stock_availability
"أريد التحقق من توفر هذا المنتج.",check_stock_availability
"كم عدد القطع المتبقية؟",check_stock_availability
"هل يمكنني شراؤه الآن؟",check_stock_availability
"هل يتوفر لديكم هذا المنتج؟",check_stock_availability
"هل المنتج متاح في جميع الفروع؟",check_stock_availability
"هل هناك أي فرصة لإيجاده؟",check_stock_availability
"انتهى المخزون، متى سيعود؟",check_stock_availability
"هل يمكنني وضعه في قائمة الانتظار؟",check_stock_availability
"لماذا لا أستطيع إضافته إلى عربة التسوق؟ هل نفد؟",check_stock_availability
"هل هذا المنتج متوفر بكميات كبيرة؟",check_stock_availability
"هل ما زال لديكم مخزون منه؟",check_stock_availability
"متى كانت آخر مرة كان متوفراً فيها؟",check_stock_availability
"هل ستتم إعادة تخزينه قريبًا؟",check_stock_availability
"هل لديكم أي مخزون متبقٍ؟",check_stock_availability
"هل تم بيع كل الكمية؟",check_stock_availability
"المنتج غير متاح، هل هذا مؤقت؟",check_stock_availability
"هل هذا المنتج متاح للطلب المسبق؟",check_stock_availability
"المنتج ده موجود؟",check_stock_availability
"فيه منه ولا خلص؟",check_stock_availability
"عندكم منه؟",check_stock_availability
"ألاقيه عندكم؟",check_stock_availability
"عايز أتأكد لو لسه فيه منه.",check_stock_availability
"الاستوك فيه منه؟",check_stock_availability
"لسه موجود؟",check_stock_availability
"خلص ولا لسه؟",check_stock_availability
"أقدر أجيبه دلوقتي؟",check_stock_availability
"الكمية موجودة؟",check_stock_availability
"موجود في المخزن ولا لأ؟",check_stock_availability
"لو طلبته هييجي؟",check_stock_availability
"متاح للشرا؟",check_stock_availability
"قولي لو موجود عشان أطلب.",check_stock_availability
"هو ليه مكتوب غير متوفر؟",check_stock_availability
"امتى هييجي تاني؟",check_stock_availability
"أقدر أحجزه؟",check_stock_availability
"ممكن تبلغني لما يرجع؟",check_stock_availability
"هو اتقطع خلاص؟",check_stock_availability
"مفيش أمل يرجع؟",check_stock_availability
"Is this product in stock?",check_stock_availability
"Is this item currently available?",check_stock_availability
"I'd like to check if this product is available.",check_stock_availability
"Is this still in stock or has it sold out?",check_stock_availability
"Is the quantity I want available?",check_stock_availability
"Is it available or should I wait?",check_stock_availability
"How many pieces do you have in stock?",check_stock_availability
"Do you still carry this model?",check_stock_availability
"Can I order it right now?",check_stock_availability
